lm_key,gearnet_layers,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,4,2,0,valid_mcc,5,all,5,0.001,1,0.5423,0.9895,0.9664,0.7391,0.6164,0.9344,0.0011,0.2616,0.641,24
facebook/esm2_t33_650M_UR50D,1,4,0,valid_mcc,33,all,5,0.001,1,0.5423,0.9891,0.966,0.7312,0.6127,0.9251,0.0088,0.1547,0.6623,15
facebook/esm2_t33_650M_UR50D,2,2,0,valid_mcc,5,all,5,0.001,0,0.5391,0.9914,0.9679,0.7735,0.6302,0.9293,0.0008,0.2463,0.6591,23
facebook/esm2_t33_650M_UR50D,2,4,0,valid_mcc,33,all,5,0.001,1,0.5949,0.9863,0.966,0.7038,0.6295,0.9295,0.0046,0.1769,0.6615,19
facebook/esm2_t33_650M_UR50D,3,2,0,valid_mcc,5,all,5,0.001,0,0.5502,0.9915,0.9686,0.7788,0.6394,0.9209,0.0008,0.259,0.6557,22
facebook/esm2_t33_650M_UR50D,3,4,0,valid_mcc,33,all,5,0.001,1,0.571,0.9863,0.9648,0.6951,0.6119,0.9298,0.0014,0.2186,0.6485,25
facebook/esm2_t33_650M_UR50D,4,2,0,valid_mcc,5,all,5,0.001,0,0.5502,0.989,0.9663,0.7325,0.618,0.9309,0.0048,0.2162,0.643,16
facebook/esm2_t33_650M_UR50D,1,4,0,valid_mcc,33,all,5,0.001,0,0.5359,0.9915,0.9679,0.776,0.6294,0.932,0.0194,0.1378,0.6559,11
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,33,all,5,0.001,1,0.5662,0.9907,0.9687,0.7684,0.6441,0.932,0.0066,0.1788,0.6634,16
facebook/esm2_t33_650M_UR50D,1,4,0,valid_mcc,5,all,5,0.001,1,0.5885,0.9882,0.9675,0.7307,0.6392,0.9326,0.0011,0.1996,0.6588,18
facebook/esm2_t33_650M_UR50D,2,4,0,valid_mcc,5,all,5,0.001,1,0.5678,0.9908,0.9689,0.7706,0.6461,0.9258,0.0013,0.2314,0.6546,21
