lm_key,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,33,none,3,0.001,1,0.5024,0.9908,0.9655,0.7482,0.5965,0.9321,0.0477,0.1145,0.599,7
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,33,none,3,0.0005,1,0.5231,0.9882,0.9641,0.7069,0.5902,0.9204,0.0335,0.1217,0.5905,9
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,33,all,3,0.001,1,0.5518,0.9895,0.9669,0.7425,0.6236,0.9299,0.0453,0.1026,0.6257,7
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,33,all,3,0.0005,1,0.4769,0.991,0.9644,0.7438,0.5787,0.9237,0.0564,0.0999,0.6097,7
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,16,none,3,0.001,1,0.4577,0.9921,0.9644,0.7593,0.5731,0.9313,0.0531,0.1107,0.5952,7
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,16,none,3,0.0005,1,0.5104,0.9888,0.964,0.7127,0.5853,0.9209,0.0298,0.1293,0.5781,10
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,16,all,3,0.001,1,0.4769,0.9909,0.9643,0.7419,0.5779,0.9291,0.0664,0.1,0.609,6
facebook/esm2_t33_650M_UR50D,1,0.1,valid_mcc,16,all,3,0.0005,1,0.5152,0.9861,0.9617,0.6687,0.5675,0.9145,0.0211,0.1561,0.5778,10
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,33,none,3,0.001,1,0.5024,0.9921,0.9667,0.7759,0.6086,0.9284,0.0611,0.1015,0.6179,6
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,33,none,3,0.0005,1,0.5231,0.9904,0.9662,0.7489,0.6094,0.9288,0.039,0.119,0.6003,8
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,33,all,3,0.001,1,0.5247,0.991,0.9669,0.7616,0.6161,0.9254,0.0394,0.1042,0.6337,7
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,33,all,3,0.0005,1,0.5821,0.9861,0.9652,0.6966,0.6189,0.9185,0.0198,0.1334,0.6072,10
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,16,none,3,0.001,1,0.5311,0.9888,0.9651,0.7223,0.602,0.913,0.0094,0.1874,0.6158,11
facebook/esm2_t33_650M_UR50D,2,0.0,valid_mcc,16,none,3,0.0005,1,0.4864,0.991,0.9649,0.7475,0.5863,0.9222,0.0311,0.1334,0.5957,9
