param_version,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
12,0.6571,0.9748,0.9584,0.5877,0.5996,0.9245,0.0511,0.1319,0.6504,21
14,0.5853,0.9901,0.9691,0.763,0.6528,0.9125,0.0035,0.1871,0.6882,18
14,0.6571,0.9849,0.9679,0.7043,0.6635,0.9366,0.0046,0.151,0.6715,16
15,0.6651,0.9758,0.9597,0.6,0.6105,0.9142,0.0588,0.137,0.6415,15
14,0.5917,0.9909,0.9702,0.7794,0.6643,0.9198,0.0021,0.1701,0.6662,15
14,0.5726,0.9905,0.9689,0.7671,0.6473,0.9062,0.0018,0.1842,0.6886,21
15,0.6093,0.9855,0.966,0.6971,0.634,0.9162,0.07,0.1435,0.6221,14
14,0.5917,0.9915,0.9708,0.791,0.6697,0.9227,0.0009,0.1972,0.6696,17
16,0.6619,0.9806,0.9641,0.6505,0.6372,0.9343,0.0515,0.126,0.6588,19
14,0.571,0.9911,0.9694,0.7783,0.6515,0.9316,0.0012,0.1907,0.6804,16
14,0.6013,0.9882,0.9681,0.7349,0.6484,0.9458,0.0163,0.1059,0.6585,10
15,0.7512,0.9656,0.9545,0.5439,0.6164,0.9449,0.0863,0.1285,0.6421,12
14,0.6587,0.9848,0.9679,0.7036,0.6639,0.9261,0.002,0.1682,0.6773,17
16,0.6986,0.9715,0.9574,0.5725,0.6103,0.9407,0.0633,0.1208,0.6548,18
14,0.6427,0.988,0.9701,0.7449,0.6765,0.9117,0.002,0.1821,0.6773,18
14,0.5821,0.99,0.9689,0.7604,0.6497,0.9451,0.0069,0.1322,0.6746,12
15,0.7241,0.9739,0.9609,0.6021,0.64,0.9334,0.0471,0.1475,0.6442,19
14,0.5805,0.9912,0.9699,0.7828,0.6593,0.9283,0.0037,0.1646,0.6846,14
16,0.7049,0.9721,0.9583,0.5801,0.6178,0.9337,0.0514,0.1476,0.66,16
15,0.6699,0.9827,0.9665,0.6785,0.6565,0.9398,0.0369,0.1357,0.671,25
16,0.7352,0.9665,0.9546,0.5456,0.6104,0.9421,0.0463,0.1504,0.6435,19
15,0.7289,0.9711,0.9585,0.5792,0.6284,0.9199,0.0538,0.1354,0.6544,21
14,0.6077,0.9884,0.9687,0.7412,0.6551,0.9306,0.0099,0.1442,0.6802,11
16,0.6794,0.9757,0.9604,0.6043,0.6199,0.9391,0.076,0.1126,0.641,13
14,0.5726,0.9909,0.9693,0.7754,0.6511,0.9331,0.003,0.1616,0.6732,16
14,0.5375,0.9914,0.9679,0.7729,0.629,0.933,0.0522,0.0994,0.6593,8
15,0.6571,0.9818,0.965,0.6634,0.6418,0.9272,0.0531,0.1403,0.6557,18
14,0.6077,0.9889,0.9692,0.75,0.6594,0.9187,0.0034,0.1726,0.6772,14
14,0.6093,0.9909,0.9711,0.7844,0.6768,0.9397,0.0038,0.1647,0.6732,15
14,0.614,0.9875,0.9682,0.7292,0.6527,0.9315,0.0043,0.1524,0.669,16
14,0.6475,0.9861,0.9685,0.7173,0.6651,0.9421,0.0053,0.1243,0.6769,12
17,0.6858,0.9746,0.9597,0.5964,0.6184,0.9418,0.0843,0.1155,0.6424,13
14,0.6284,0.9868,0.9683,0.7229,0.6576,0.9366,0.0028,0.1543,0.6788,14
14,0.5853,0.9902,0.9693,0.7662,0.6543,0.9263,0.0076,0.1296,0.6831,12
15,0.6156,0.9812,0.9623,0.6412,0.6084,0.9229,0.0624,0.1433,0.6326,15
15,0.6667,0.978,0.9619,0.6239,0.6249,0.9327,0.0647,0.1277,0.6467,14
15,0.7528,0.9548,0.9443,0.4763,0.572,0.9417,0.0835,0.144,0.6377,12
15,0.6699,0.9843,0.968,0.7,0.6679,0.9335,0.0462,0.1278,0.6576,24
15,0.6651,0.976,0.9599,0.6026,0.612,0.9231,0.1013,0.1157,0.6397,12
15,0.6603,0.9799,0.9633,0.6419,0.6317,0.9251,0.036,0.1312,0.6644,21
15,0.6507,0.9834,0.9661,0.6811,0.6479,0.9183,0.0381,0.1869,0.6593,24
15,0.6396,0.9803,0.9627,0.6396,0.6199,0.9344,0.0767,0.1114,0.6505,13
15,0.748,0.9723,0.9607,0.5959,0.6475,0.9354,0.044,0.1372,0.6587,19
15,0.6284,0.9834,0.965,0.6735,0.6322,0.9392,0.0657,0.1318,0.6627,15
15,0.7831,0.9509,0.9422,0.4654,0.5767,0.9452,0.1035,0.1501,0.6385,11
15,0.6651,0.9745,0.9585,0.5873,0.6032,0.9232,0.0624,0.1411,0.6361,13
17,0.7416,0.9529,0.9419,0.4622,0.5576,0.9482,0.1367,0.1297,0.6329,9
15,0.6188,0.9736,0.9552,0.5615,0.5659,0.9153,0.0868,0.1114,0.6338,15
17,0.6507,0.9821,0.965,0.6656,0.6397,0.9292,0.0511,0.1271,0.6624,19
18,0.7257,0.9712,0.9585,0.5789,0.6267,0.9388,0.0206,0.1181,0.6503,10
15,0.638,0.9844,0.9665,0.6908,0.6463,0.9215,0.042,0.1287,0.6476,20
18,0.6699,0.983,0.9668,0.6829,0.6589,0.9408,0.014,0.1542,0.6702,11
18,0.5726,0.9895,0.9679,0.7495,0.639,0.9289,0.0129,0.1507,0.6563,11
18,0.6268,0.9849,0.9664,0.6943,0.6421,0.9389,0.0119,0.1364,0.6536,12
18,0.6204,0.986,0.967,0.7073,0.6453,0.9376,0.0048,0.1502,0.6569,12
18,0.6332,0.9851,0.9669,0.6989,0.6479,0.9324,0.0081,0.1673,0.6618,13
18,0.6858,0.9819,0.9665,0.674,0.6622,0.9379,0.0102,0.1463,0.663,11
18,0.6555,0.9833,0.9663,0.6816,0.6507,0.9246,0.0201,0.1367,0.6569,10
18,0.6427,0.9825,0.9649,0.6672,0.6364,0.927,0.0026,0.1775,0.6658,18
18,0.6252,0.9867,0.9679,0.7193,0.654,0.9335,0.0027,0.1727,0.6705,16
18,0.5821,0.9887,0.9676,0.7374,0.6388,0.9138,0.0028,0.1841,0.6623,18
18,0.6396,0.9848,0.9669,0.6962,0.6499,0.9255,0.004,0.1789,0.6606,21
18,0.7002,0.9797,0.9652,0.6533,0.658,0.9468,0.02,0.1361,0.6566,10
18,0.6332,0.985,0.9668,0.6977,0.6473,0.9325,0.0065,0.1579,0.6611,13
18,0.6459,0.9831,0.9656,0.6761,0.6428,0.9352,0.0035,0.1647,0.6662,14
19,0.5072,0.9942,0.9689,0.826,0.6331,0.917,0.0025,0.1897,0.6717,12
19,0.555,0.9915,0.9689,0.7803,0.6429,0.9178,0.001,0.1881,0.6642,14
19,0.5997,0.9893,0.9691,0.7535,0.6565,0.9218,0.0025,0.1916,0.6797,14
